#Table1
objid,u,g,r,i,z
1237668355109617845,15.64877,14.65252,14.55741,14.229,13.33909
1237668355109617848,16.42908,14.98056,14.36546,14.10973,13.94392
1237668355109617849,16.53623,15.13512,14.51652,14.2631,14.09655
1237668355109617850,15.89986,14.8365,14.47984,14.37411,14.32596
1237668355109617851,16.18958,14.97118,14.85165,14.84361,14.81034
1237668355109617852,17.12411,15.64006,15.13661,15.0047,14.94914
1237668355109617853,16.52015,15.39308,15.60698,15.80642,15.91294
1237668355109617854,17.6459,16.29618,15.8165,15.67704,15.5954
1237668355109617855,17.73043,16.56932,16.06698,15.86425,15.76446
1237668355109617856,16.82334,16.36074,16.67595,16.95703,17.18259
1237668355109617857,17.86671,16.71069,16.21476,16.02197,15.92126
1237668355109617858,17.9658,16.8994,16.51492,16.4039,16.37949
1237668355109617859,21.734,22.27515,16.68424,16.35644,16.17051
1237668355109617860,18.51099,17.3408,16.99619,20.32621,16.81014
1237668355109617861,19.55359,17.63935,16.9424,16.73332,16.62696
1237668355109617862,18.50353,17.42817,16.94176,16.7706,16.70109
1237668355109617863,18.57758,17.50091,17.029,16.86322,16.77018
1237668355109617864,18.99874,17.96588,17.52048,17.366,17.32149
1237668355109617866,21.34711,18.89379,17.83386,17.52033,17.35605
1237668355109617868,19.15613,18.1954,17.84278,17.74805,17.72921
1237668355109617869,19.18012,18.25431,17.96808,17.90928,17.93194
1237668355109617870,19.23016,18.3024,18.00498,17.90059,17.92182
1237668355109617871,19.31446,18.28275,17.97422,17.88664,17.89248
1237668355109617872,19.50886,18.60683,18.28907,18.2123,18.2875
1237668355109617873,19.24463,21.34842,20.7334,20.31815,19.45264
1237668355109617881,20.51604,25.11438,20.3645,19.22283,19.58825
1237668355109617945,19.82095,18.84716,18.63426,18.58253,18.63213
1237668355109617950,21.66325,22.57225,22.00885,21.91708,20.27386
1237668355109617951,23.45349,22.26514,20.60217,20.32143,21.97558
1237668355109617955,24.09706,21.46655,20.93402,20.84503,22.07731
1237668355109617958,24.61128,23.11078,21.88394,21.57067,22.12989
1237668355109617959,23.42514,22.89591,22.13389,21.62859,21.96948
1237668355109617962,23.65289,26.28936,23.57054,22.2166,22.94005
1237668355109617963,24.1293,24.11339,22.6487,22.31415,22.5902
1237668355109617964,25.34919,23.90584,22.7944,23.80079,21.33893
1237668355109617965,24.29234,22.8404,23.42171,22.66408,22.91836
1237668355109617966,24.64677,25.66509,22.9755,22.42543,21.61547
1237668355109617969,18.97105,17.91349,17.49836,17.35872,17.29448
1237668355109617970,19.5516,18.16915,17.67501,17.51766,17.46631
1237668355109617972,19.68462,18.78899,18.57039,18.50928,18.51809
1237668355109617973,19.86069,18.92849,18.71424,18.6445,18.69504
1237668355109617974,19.98946,18.98652,18.73187,18.66716,18.67735
1237668355109617975,20.02078,19.09447,18.83889,18.75141,18.84221
1237668355109617976,20.11109,19.15678,18.8796,18.79799,18.86124
1237668355109617977,23.66023,25.11434,24.80177,20.13232,22.82686
1237668355109617980,23.20153,22.2253,21.21105,21.04243,21.19475
1237668355109617981,22.63393,22.1425,21.44877,21.2249,22.06573
1237668355109617982,23.61092,22.60543,21.67872,21.42421,21.16819
1237668355109617983,24.62151,22.48138,21.74936,21.464,21.62602
1237668355109617985,23.76814,22.53743,22.38162,22.3441,22.38885
1237668355109617987,23.0253,23.27547,22.09003,21.7671,21.81746
1237668355109617999,18.45241,16.81518,16.18557,15.95561,15.8269
1237668355109618000,22.75236,19.60553,18.24306,17.08141,16.46917
1237668355109618001,24.87063,22.98649,22.26643,22.24717,21.69786
1237668355109618015,18.82997,17.80787,17.36731,17.19992,17.13353
1237668355109618016,20.10335,19.18018,18.91403,18.85508,18.94583
1237668355109618017,22.244,22.18276,20.97232,20.85503,20.44389
1237668355109618018,21.78067,21.02414,20.66263,20.47182,20.51075
1237668355109618019,23.858,22.78899,22.03921,21.69632,21.63287
1237668355109618020,23.62982,23.4992,22.98041,21.96014,22.78208
1237668355109618021,25.52705,24.09089,22.96474,22.28102,22.00377
1237668355109618080,16.43146,14.46086,13.71607,14.7511,13.35277
1237668355109618081,19.16671,18.09802,17.71021,17.593,17.55121
1237668355109618082,20.47809,18.58848,17.87529,17.66219,17.56166
1237668355109618083,20.48769,19.36216,19.07397,19.02169,18.97478
1237668355109618084,21.05932,19.89104,19.55865,19.47705,19.59321
1237668355109618085,21.01829,19.90415,19.60219,19.5186,19.64724
1237668355109618086,20.97947,23.35017,19.81709,22.49563,19.93428
1237668355109618088,21.9319,20.40672,28.09624,19.32289,26.00288
1237668355109618089,21.76827,21.78096,20.49332,20.46011,20.16449
1237668355109618090,23.40447,20.92671,22.22143,20.43135,21.61191
1237668355109618091,24.74875,23.54057,22.89974,20.90975,21.66496
1237668355109618093,24.51245,22.61767,21.85884,21.70999,21.95556
1237668355109618094,24.81406,23.06512,21.82935,23.2018,22.21992
1237668355109618121,18.29387,17.14289,16.68124,16.49593,16.39262
1237668355109618122,19.5524,18.59051,18.34567,18.29577,18.24415
1237668355109618123,23.50772,21.97567,24.80211,24.36224,21.84497
1237668355109618124,23.53438,21.61141,21.12225,20.75328,20.76287
1237668355109618125,23.7107,23.61483,21.17192,20.93968,22.14219
1237668355109618126,24.01081,22.51069,21.51612,21.30357,21.72436
1237668355109618127,25.28699,22.61754,22.02385,21.34559,21.42691
1237668355109618129,23.17173,22.97774,22.25497,21.81085,21.56684
1237668355109618130,24.36572,24.01927,22.24417,21.93829,21.94479
1237668355109618131,24.99022,24.15835,22.99984,22.21313,23.06878
1237668355109618134,17.13453,15.46299,14.8486,14.63083,14.50736
1237668355109618135,19.9244,17.71877,16.80154,16.48935,16.32723
1237668355109618136,19.83345,18.83548,18.59664,18.54536,18.54109
1237668355109618137,21.83106,20.72855,20.30671,20.12477,20.13091
1237668355109618138,23.1014,22.34927,20.13699,21.42755,19.9871
1237668355109618139,21.95338,21.27077,21.81872,20.90903,20.75278
1237668355109618140,24.7879,22.32255,21.50159,21.30981,21.57608
1237668355109618141,24.86903,22.68591,21.61407,21.26198,21.60307
1237668355109618142,25.74651,23.9547,23.1472,21.84527,22.39906
1237668355109618143,23.37617,23.16785,22.76714,22.03734,21.67554
1237668355109618144,24.3308,24.72647,22.49636,22.29893,22.34035
1237668355109618455,19.8508,18.93825,18.70869,18.62548,18.68805
1237668355109618473,19.30285,18.36347,18.1099,18.02377,18.04146
1237668355109618474,19.91078,18.93274,18.69221,18.6192,18.63404
1237668355109618475,20.67697,19.74049,19.47271,19.41292,19.3881
1237668355109618476,21.55204,20.64726,20.23944,20.16421,20.21823
1237668355109618477,21.89746,21.04325,20.49299,20.33793,20.54931
1237668355109618487,20.42149,19.55279,19.2904,19.20736,19.32479
1237668355109618488,21.89303,20.70187,20.44212,20.26756,20.04858
1237668355109618501,19.16811,18.22341,17.93725,17.8302,17.81702
1237668355109618502,21.6898,20.28614,19.85064,19.73049,20.01649
1237668355109618503,22.43417,21.36737,20.88503,20.84135,20.68555
1237668355109618504,24.23,22.05704,21.35914,21.16651,21.45818
1237668355109618505,23.80581,24.59042,22.09171,23.95047,21.83428
1237668355109618506,25.21111,22.37859,21.52005,21.52306,21.70311
1237668355109618507,24.46872,24.72766,24.04169,22.12708,21.90149
1237668355109618508,25.88084,23.85677,22.61065,22.11596,22.48183
1237668355109618511,19.84142,18.85377,18.64459,18.58506,18.54518
1237668355109618512,24.58847,22.39039,21.45113,21.20226,20.83685
1237668355109618515,22.35651,19.23428,17.90571,17.36351,17.06358
1237668355109618516,20.21361,19.20596,18.98562,18.89805,18.89801
1237668355109618519,19.71266,18.60309,18.19796,18.06205,17.97875
1237668355109618520,20.45558,19.47673,19.23248,19.17287,19.21709
1237668355109618521,25.73568,23.88187,21.54918,20.23596,19.69344
1237668355109618522,22.95819,21.77024,21.19441,20.94059,21.47383
1237668355109618523,24.22534,22.4876,21.85452,21.6475,22.52114
1237668355109618524,20.71622,19.95878,19.63084,19.57979,19.5682
1237668355109618525,20.4521,19.54027,19.27669,19.17447,19.22561
1237668355109618529,20.9745,19.97098,19.66957,19.58665,19.58454
1237668355109618530,21.03819,20.36466,20.01998,19.89626,19.93037
